cntry,netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,dscrgnd,dscrrlg,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,iplylfra,ipmodsta,ipudrsta,cntryfcz,origfcz,orig,cntry_fc
España,5.0,1.0,6,7.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,7.0,2.0,1,4.0,2.0,6,4,5,5,4.0,4,8,7,1,4,8.0,6,2,10.0,7.0,2.0,0,0,10,3,4.0,7,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6,1,Nacional,9
Lituania,1.0,1.0,3,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,3,4.0,2.0,5,4,2,8,5.0,8,8,9,3,4,8.0,5,2,10.0,9.0,2.0,0,0,8,3,3.0,3,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,33,1,Nacional,23
Finlandia,5.0,1.0,4,1.0,7.0,2.0,1,3.0,1.0,1.0,3.0,1.0,1.0,8.0,5.0,3,3.0,2.0,5,3,8,9,8.0,7,10,9,5,8,8.0,5,2,10.0,7.0,2.0,0,0,9,1,4.0,4,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,Nacional,11
Suecia,5.0,1.0,5,7.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,3,4.0,2.0,8,3,6,3,2.0,6,9,9,4,6,8.0,5,1,10.0,7.0,2.0,0,0,9,1,6.0,9,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,Nacional,34
Lituania,2.0,1.0,5,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,3,2,3,5,3.0,1,3,5,2,6,8.0,4,3,8.0,4.0,2.0,0,0,3,4,1.0,3,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,33,1,Nacional,23
Lituania,2.0,1.0,9,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,6.0,1,4.0,2.0,5,4,8,8,5.0,7,8,7,0,7,8.0,9,2,0.0,0.0,2.0,0,0,10,3,2.0,5,6,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,33,1,Nacional,23
Slovakia,5.0,2.0,5,7.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,2,4.0,2.0,8,2,5,7,5.0,4,5,6,5,5,8.0,5,2,10.0,7.0,2.0,0,0,8,3,4.0,2,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,24,1,Nacional,33
Suecia,5.0,1.0,5,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,2,4.0,2.0,3,3,9,9,9.0,9,10,10,5,5,10.0,8,1,10.0,8.0,2.0,0,0,9,2,1.0,3,7,5.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,Nacional,34
Polonia,5.0,1.0,6,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,6.0,1,4.0,2.0,10,4,1,1,1.0,0,9,8,0,5,8.0,1,2,10.0,7.0,2.0,0,0,7,4,2.0,10,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,18,2,Mixto,28
Israel,5.0,0.0,5,1.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,9,3,1,1,0.0,8,5,2,0,0,8.0,1,1,10.0,7.0,2.0,0,0,6,2,4.0,1,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,13,3,Extranjero,19
